x,y,dx,dy
-0.2217369412567649,-7.235481641070318,-0.22397442081785607,0.04658667953011407
-0.739457227213907,-6.822290749105357,-0.3220838165640874,0.40240595353439074
-0.2217369412567649,-6.822290749105357,-0.2462743459952443,0.40931311163669526
0.2959833447003781,-6.822290749105357,0.2014675377208988,0.3859892077830305
-0.739457227213907,-6.409099857140395,-0.14105572362416147,0.5698092597886918
-0.2217369412567649,-6.409099857140395,-0.14523816938584622,0.6065829427291227
0.2959833447003781,-6.409099857140395,0.10407453608624269,0.6414775951497504
-0.739457227213907,-5.995908965175435,-0.11747221881908887,0.723293233014676
-0.2217369412567649,-5.995908965175435,-0.045084939377242846,0.780598543403658
0.2959833447003781,-5.995908965175435,0.218523359357715,0.7939516131561626
0.8137036306575194,-5.995908965175435,0.29082848315711485,0.7307195938822131
-0.739457227213907,-5.582718073210474,0.07448500088661165,0.7778961712313033
-0.2217369412567649,-5.582718073210474,0.03853809518678611,0.8606841258382265
0.2959833447003781,-5.582718073210474,0.03741263423865267,0.853775499292332
0.8137036306575194,-5.582718073210474,0.10962373548423202,0.7170748470592287
-0.739457227213907,-5.169527181245513,0.08364703388087197,0.8879454365815644
-0.2217369412567649,-5.169527181245513,0.09889454059815772,0.8689596126492156
0.2959833447003781,-5.169527181245513,-0.04930638454316493,0.8382085372338057
0.8137036306575194,-5.169527181245513,-0.048337824588516855,0.8296349077335241
-0.739457227213907,-4.7563362892805525,-0.10143793189647989,0.9523181370028202
-0.2217369412567649,-4.7563362892805525,-0.06043099312706783,0.906915874466667
0.2959833447003781,-4.7563362892805525,-0.04209321762363974,0.9144079828454444
0.8137036306575194,-4.7563362892805525,0.029670263090002598,0.9389765613189119
-7.987541230613902,-4.343145397315592,0.07791743302080148,-0.1897988753070849
-7.469820944656759,-4.343145397315592,-0.38936772068041015,-0.10471246796365974
-6.952100658699617,-4.343145397315592,-0.5621063771642972,-0.22835571572299626
-6.434380372742474,-4.343145397315592,-0.6356090257168344,-0.3047201550554631
-0.739457227213907,-4.343145397315592,-0.010850411084488127,0.8310428489710374
-0.2217369412567649,-4.343145397315592,0.013485109225596802,0.8510067143439086
0.2959833447003781,-4.343145397315592,0.01686684313232313,0.971951835500134
0.8137036306575194,-4.343145397315592,-0.014433730663733314,0.9938654542741922
17.380752781286077,-4.343145397315592,0.5015709320491231,-0.11623707314154569
-7.987541230613902,-3.9299545053506306,0,-0.18666007410663962
-7.469820944656759,-3.9299545053506306,-0.444397663677965,-0.3329291467089058
-6.952100658699617,-3.9299545053506306,-0.649333846648356,-0.2844810797426449
-6.434380372742474,-3.9299545053506306,-0.6984972667589482,-0.3586454575959634
-5.916660086785332,-3.9299545053506306,-0.7303336288508964,-0.2914036392060325
-5.39893980082819,-3.9299545053506306,-0.7683676107271464,-0.03729939857898834
-4.881219514871047,-3.9299545053506306,-0.9608146661304884,-0.06935907465866613
-4.363499228913905,-3.9299545053506306,-0.9797654042285179,-0.2079034358179137
-3.8457789429567626,-3.9299545053506306,-0.7397858795169956,-0.18440883479239045
-0.739457227213907,-3.9299545053506306,0.08691686949754326,0.7827722857742822
