x,y,dx,dy
-0.2217369412567649,-7.235481641070318,-0.07677146693405838,0.13820058585466627
-0.739457227213907,-6.822290749105357,-0.1720479005111216,0.18568510492228443
-0.2217369412567649,-6.822290749105357,-0.08237347949128045,0.16383647631104653
0.2959833447003781,-6.822290749105357,0.010128547460377793,0.14047229924277177
-0.739457227213907,-6.409099857140395,-0.18024869289754042,0.16102711073391834
-0.2217369412567649,-6.409099857140395,-0.11170520056922545,0.16224994913211502
0.2959833447003781,-6.409099857140395,-0.0016195634053503502,0.1707837234146308
-0.739457227213907,-5.995908965175435,-0.21458628992149478,0.1552230587829242
-0.2217369412567649,-5.995908965175435,-0.16057349009630495,0.16347193719721378
0.2959833447003781,-5.995908965175435,-0.025023249559119696,0.2015160766686137
0.8137036306575194,-5.995908965175435,0.02899348745001413,0.18699137203822933
-0.739457227213907,-5.582718073210474,-0.24449334014103022,0.26168974753648344
-0.2217369412567649,-5.582718073210474,-0.2159969081629954,0.26123642269006453
0.2959833447003781,-5.582718073210474,-0.10022149500665446,0.25717611688701264
0.8137036306575194,-5.582718073210474,-0.01326293644115806,0.22184010327309853
-0.739457227213907,-5.169527181245513,-0.24099614377657377,0.33816729079096497
-0.2217369412567649,-5.169527181245513,-0.2616146517500318,0.30637190183848545
0.2959833447003781,-5.169527181245513,-0.19809030727386012,0.28857813420612827
0.8137036306575194,-5.169527181245513,-0.07731151560953484,0.2779116642148335
-0.739457227213907,-4.7563362892805525,-0.20850399842446324,0.30256322591094975
-0.2217369412567649,-4.7563362892805525,-0.2720789524305959,0.25503889330107343
0.2959833447003781,-4.7563362892805525,-0.2563710796341856,0.2650477395328621
0.8137036306575194,-4.7563362892805525,-0.12553870948020976,0.29495603877843357
-7.987541230613902,-4.343145397315592,0.036437220051224316,-0.2573402353927058
-7.469820944656759,-4.343145397315592,0.059813684363674666,-0.2702807454332074
-6.952100658699617,-4.343145397315592,0.04255902205388373,-0.29071344667908916
-6.434380372742474,-4.343145397315592,-0.038741301910478844,-0.2649269380770232
-0.739457227213907,-4.343145397315592,-0.19149685096850827,0.27806241874397686
-0.2217369412567649,-4.343145397315592,-0.2583099702764381,0.22999577701089205
0.2959833447003781,-4.343145397315592,-0.2729723933443178,0.22199554870572522
0.8137036306575194,-4.343145397315592,-0.1529911437864671,0.23589659552953246
17.380752781286077,-4.343145397315592,-0.11903651536752652,0.2878764412701288
-7.987541230613902,-3.9299545053506306,0.0036253554021418604,-0.2683628223051776
-7.469820944656759,-3.9299545053506306,-0.02585439579843207,-0.29860837401925683
-6.952100658699617,-3.9299545053506306,-0.08739425500531205,-0.3336599424141725
-6.434380372742474,-3.9299545053506306,-0.05593992752504832,-0.25716255577966085
-5.916660086785332,-3.9299545053506306,-0.06144379361308653,-0.09004919962436522
-5.39893980082819,-3.9299545053506306,-0.4035907944723782,-0.04934845787900576
-4.881219514871047,-3.9299545053506306,-0.5051062725605203,0.0060248562931452055
-4.363499228913905,-3.9299545053506306,-0.3746277133850616,0.11260941095985291
-3.8457789429567626,-3.9299545053506306,-0.2676278575594515,0.14007695359978287
-0.739457227213907,-3.9299545053506306,-0.19224464541606193,0.3138604324063847
-0.2217369412567649,-3.9299545053506306,-0.22837614098014308,0.26486750896496486
